dateheure;h13d;h110d;hmaxd;hsigma;hrmsd;h2percentd;th13d;th110d;tavd;thmaxd;tmaxd;etamax;etamin;sz13d;szmaxd;tszmaxd;nbrevag;skew;kurt;rhh;hm0;tp;t02;te;eps2;kapa;thetap;thetam;sigmap;sigmam;nbsys;hm0_s1;tp_s1;t02_s1;te_s1;eps2_s1;kapa_s1;thetap_s1;thetam_s1;sigmap_s1;sigmam_s1;hm0_s2;tp_s2;t02_s2;te_s2;eps2_s2;kapa_s2;thetap_s2;thetam_s2;sigmap_s2;sigmam_s2;hm0_s3;tp_s3;t02_s3;te_s3;eps2_s3;kapa_s3;thetap_s3;thetam_s3;sigmap_s3;sigmam_s3;hm0_s4;tp_s4;t02_s4;te_s4;eps2_s4;kapa_s4;thetap_s4;thetam_s4;sigmap_s4;sigmam_s4
2013-12-09 12:00:00;0.22;0.28;0.42;0.25;0.16;0.31;5.2;5.2;4.1;5.2;9.2;0.21;0.23;0.014;0.071;1.00;389;0.034;3.078;0.22;0.24;6.2;4.2;5.1;0.37;0.17;203.8;162.5;45.9;55.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-12-09 12:30:00;0.22;0.27;0.37;0.25;0.15;0.31;4.6;4.7;3.6;5.7;7.7;0.20;0.20;0.021;0.103;1.20;443;0.077;2.978;0.10;0.23;5.5;4.1;5.0;0.37;0.19;184.4;160.5;45.4;53.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-12-09 14:00:00;0.27;0.33;0.50;0.34;0.20;0.37;3.0;3.2;2.7;2.5;8.1;0.31;0.27;0.048;0.161;1.20;591;0.084;2.848;0.00;0.29;2.2;2.8;3.8;0.40;0.40;253.0;211.6;23.6;42.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-12-09 14:30:00;0.28;0.35;0.49;0.35;0.20;0.39;2.9;3.2;2.6;2.6;7.1;0.34;0.26;0.040;0.104;1.30;603;0.159;3.097;0.04;0.32;2.3;2.8;3.6;0.36;0.39;259.2;235.8;25.8;42.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-12-09 15:00:00;0.31;0.38;0.65;0.38;0.22;0.41;3.0;3.1;2.7;9.0;9.3;0.36;0.45;0.042;0.167;0.90;588;-0.003;3.385;0.17;0.34;2.6;2.8;4.2;0.36;0.44;258.3;245.9;29.2;42.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-12-09 15:30:00;0.29;0.36;0.58;0.36;0.21;0.40;3.0;2.8;2.7;2.5;6.4;0.33;0.34;0.037;0.126;1.10;591;0.070;3.066;0.17;0.33;2.6;2.8;3.4;0.30;0.38;264.2;245.8;27.9;39.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-12-09 16:00:00;0.31;0.40;0.61;0.39;0.23;0.43;3.0;2.8;2.7;3.1;7.0;0.37;0.33;0.041;0.209;0.90;597;0.109;2.976;0.13;0.35;2.7;2.8;3.3;0.27;0.40;277.2;256.2;29.5;40.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-12-09 16:30:00;0.35;0.43;0.57;0.42;0.25;0.47;3.0;3.0;2.7;2.6;7.5;0.35;0.33;0.039;0.129;1.10;579;0.088;2.919;0.15;0.38;2.9;2.9;3.3;0.27;0.39;279.0;261.7;25.2;36.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-12-09 17:00:00;0.32;0.41;0.58;0.40;0.23;0.45;3.1;3.3;2.8;2.5;6.8;0.34;0.36;0.035;0.122;1.00;575;0.139;2.950;0.09;0.36;2.9;2.9;3.4;0.27;0.34;279.3;262.1;30.6;39.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-12-09 17:30:00;0.32;0.41;0.56;0.40;0.23;0.45;3.0;3.1;2.7;2.6;7.5;0.35;0.36;0.041;0.176;0.90;586;0.103;2.895;0.11;0.37;3.0;2.9;3.4;0.29;0.29;283.0;262.1;31.2;40.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-12-09 18:00:00;0.31;0.39;0.53;0.38;0.22;0.44;3.1;3.4;2.8;2.4;6.6;0.34;0.31;0.037;0.138;0.80;562;0.093;2.904;0.08;0.35;2.9;3.0;3.4;0.28;0.27;280.6;254.5;29.8;41.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-12-09 18:30:00;0.31;0.38;0.55;0.38;0.22;0.42;2.9;2.9;2.7;3.1;6.9;0.33;0.30;0.038;0.127;1.20;588;0.061;2.898;0.03;0.35;3.0;2.8;3.3;0.28;0.29;276.7;262.5;32.4;39.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-12-09 19:00:00;0.35;0.44;0.89;0.43;0.25;0.47;3.5;4.1;3.0;15.3;15.3;0.42;0.54;0.038;0.145;1.10;531;-0.033;3.706;0.25;0.40;6.1;3.2;5.0;0.40;0.18;281.4;266.1;30.7;42.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-12-09 19:30:00;0.29;0.36;0.48;0.35;0.21;0.39;3.1;3.2;2.8;3.9;6.9;0.32;0.29;0.035;0.169;1.10;565;0.048;3.010;0.10;0.32;3.0;2.9;3.6;0.31;0.18;269.8;256.7;33.9;42.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-12-09 20:00:00;0.27;0.33;0.45;0.33;0.19;0.37;3.1;3.1;2.8;3.1;7.3;0.27;0.27;0.033;0.166;1.10;571;0.044;3.124;0.07;0.30;3.0;2.9;3.4;0.29;0.24;275.4;257.2;34.0;43.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-12-09 20:30:00;0.26;0.34;0.48;0.32;0.19;0.38;3.1;3.2;2.8;2.9;9.0;0.26;0.25;0.033;0.121;1.10;571;0.077;3.116;0.00;0.29;2.8;2.9;3.5;0.30;0.24;276.1;255.1;34.4;41.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-12-09 21:00:00;0.31;0.38;0.50;0.37;0.22;0.42;3.9;4.3;3.2;2.8;12.1;0.31;0.29;0.033;0.133;1.10;507;0.003;2.848;0.09;0.35;6.8;3.4;4.5;0.41;0.23;291.7;254.6;39.0;42.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-12-09 21:30:00;0.24;0.28;0.39;0.29;0.17;0.31;3.1;3.1;2.8;2.7;7.3;0.25;0.23;0.030;0.081;1.30;564;0.070;2.882;0.02;0.27;2.9;2.9;3.6;0.32;0.17;267.2;249.5;34.4;44.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-12-09 22:00:00;0.23;0.29;0.42;0.28;0.17;0.32;3.2;3.3;2.8;2.5;7.3;0.25;0.22;0.030;0.091;0.90;577;0.041;3.034;-0.04;0.25;2.8;3.0;3.6;0.32;0.18;266.0;246.1;34.5;44.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
